City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,vilyuchinsk,52.9306,158.4028,9.15,69,52,3.01,RU,1714965431
301,mahavelona,-17.6848,49.5087,21.77,91,77,3.97,MG,1714965431
302,karymskoye,51.6167,114.35,13.96,49,100,0.67,RU,1714965432
303,acajutla,13.5928,-89.8275,28.81,73,23,1.27,SV,1714965432
304,sterling,39.0062,-77.4286,19.44,87,100,1.54,US,1714965179
305,el colomo,19.05,-104.25,21.35,86,100,1.02,MX,1714965433
306,hami,42.8,93.45,30.56,4,100,8.13,CN,1714965434
307,likhovskoy,48.1519,40.1792,5.94,47,34,5.49,RU,1714965435
308,pacific grove,36.6177,-121.9166,12.68,77,0,2.57,US,1714965435
309,jiuquan,39.7432,98.5174,24.1,7,93,7.87,CN,1714965436
310,yangambi,0.8102,24.4336,22.46,79,22,1.37,CD,1714965436
311,saint-philippe,-21.3585,55.7679,19.77,76,20,4.5,RE,1714965263
312,enewetak,11.3474,162.3373,27.64,74,36,7.1,MH,1714965438
313,arno,60.1167,18.6333,4.32,72,100,4.56,SE,1714965384
314,camargo,27.6667,-105.1667,25.44,7,9,3.87,MX,1714965439
315,colonia,50.9333,6.95,13.31,83,20,0.51,DE,1714965361
316,kijang,35.2442,129.2139,18.1,77,42,7.58,KR,1714965440
317,gulf shores,30.246,-87.7008,25.59,78,40,2.57,US,1714965441
318,namibe,-15.1961,12.1522,22.66,70,5,1.96,AO,1714965253
319,veinticinco de mayo,-35.4323,-60.1727,16.66,100,100,0.89,AR,1714965441
320,xifeng,42.7372,124.7222,14.32,78,100,5.82,CN,1714965442
321,necochea,-38.5473,-58.7368,14.11,50,100,3.8,AR,1714965305
322,peterhead,57.5058,-1.7981,11.36,98,100,3.55,GB,1714965443
323,dalian,38.9122,121.6022,14.96,63,20,6.0,CN,1714965443
324,montego bay,18.4712,-77.9188,26.43,80,0,0.83,JM,1714965348
325,altay,47.8667,88.1167,20.25,19,92,2.84,CN,1714965445
326,ust'-kulom,61.6864,53.6902,-0.12,82,100,2.73,RU,1714965445
327,borba,-4.3878,-59.5939,24.22,99,28,1.04,BR,1714965446
328,brookings,44.3114,-96.7984,13.39,72,0,5.66,US,1714965446
329,carutapera,-1.195,-46.02,25.38,95,100,4.1,BR,1714965447
330,ubata,-14.2139,-39.5228,22.29,100,96,0.78,BR,1714965447
331,corinto,37.9407,22.9573,14.05,61,0,0.95,GR,1714965448
332,paita,-5.0892,-81.1144,20.88,82,46,5.66,PE,1714965366
333,remire-montjoly,4.9167,-52.2667,26.02,100,75,3.09,GF,1714965267
334,akita,39.7167,140.1167,15.84,73,100,0.96,JP,1714965174
335,praia da vitoria,38.7333,-27.0667,16.91,94,100,8.52,PT,1714965264
336,burayevo,55.8407,55.4083,2.97,96,100,10.66,RU,1714965450
337,taltal,-25.4,-70.4833,16.44,78,83,1.31,CL,1714965385
338,kambove,-10.8764,26.5969,13.18,92,4,1.52,CD,1714965451
339,kruisfontein,-34.0033,24.7314,16.86,31,0,3.72,ZA,1714965452
340,sola,-13.8833,167.55,27.73,76,73,9.36,VU,1714965266
341,klyuchi,52.2667,79.1667,8.59,43,0,4.59,RU,1714965240
342,zhangjiakou,40.81,114.8794,20.28,26,100,1.17,CN,1714965454
343,katsuura,35.1333,140.3,20.63,77,100,9.63,JP,1714965454
344,tofol,5.3248,163.0078,27.97,83,33,8.44,FM,1714965274
345,kikwit,-5.041,18.8162,22.38,63,61,1.25,CD,1714965455
346,obuase,6.206,-1.6619,23.52,99,89,0.95,GH,1714965455
347,mount isa,-20.7333,139.5,27.87,32,45,7.2,AU,1714965456
348,jalpan,21.2333,-99.4833,26.05,70,97,1.71,MX,1714965456
349,revda,56.801,59.9303,1.35,82,100,2.9,RU,1714965457
350,jutai,-5.1833,-68.9,25.96,86,99,0.91,BR,1714965457
351,lompoc,34.6391,-120.4579,13.21,72,0,6.17,US,1714965251
352,ukata,10.8312,5.8249,27.96,58,4,3.82,NG,1714965458
353,villazon,-22.0866,-65.5942,10.42,16,12,4.23,BO,1714965459
354,harper,4.375,-7.7169,27.68,80,77,2.43,LR,1714965459
355,dadukou,26.5479,101.7054,27.24,33,91,1.09,CN,1714965460
356,piti village,13.4626,144.6933,31.49,66,0,5.66,GU,1714965180
357,hauterive,46.0901,3.4459,12.42,96,100,3.3,FR,1714965461
358,khairagarh,26.95,77.8167,36.41,15,0,2.87,IN,1714965462
359,pisco,-13.7,-76.2167,19.03,88,76,1.54,PE,1714965210
360,kasongo-lunda,-6.4667,16.8167,20.93,73,49,0.8,CD,1714965463
361,guerrero negro,27.9769,-114.0611,16.07,85,8,9.31,MX,1714965463
362,bridgewater,44.3835,-64.5155,6.17,84,100,0.45,CA,1714965464
363,nurmes,63.5421,29.1397,-1.22,82,20,2.0,FI,1714965464
